sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
45535;DHT22;31426;48.798;9.698;2020-05-07T00:01:53;21.00;49.20
45535;DHT22;31426;48.798;9.698;2020-05-07T00:04:18;21.10;49.30
45535;DHT22;31426;48.798;9.698;2020-05-07T00:06:44;21.00;49.40
45535;DHT22;31426;48.798;9.698;2020-05-07T00:09:12;21.00;49.40
45535;DHT22;31426;48.798;9.698;2020-05-07T00:11:38;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:14:04;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:16:30;21.00;49.70
45535;DHT22;31426;48.798;9.698;2020-05-07T00:18:55;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T00:21:21;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:23:46;21.00;49.70
45535;DHT22;31426;48.798;9.698;2020-05-07T00:26:12;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:28:38;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T00:31:03;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T00:33:29;21.00;50.00
45535;DHT22;31426;48.798;9.698;2020-05-07T00:35:55;21.00;49.90
45535;DHT22;31426;48.798;9.698;2020-05-07T00:38:20;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T00:40:46;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T00:43:11;21.00;49.90
45535;DHT22;31426;48.798;9.698;2020-05-07T00:45:37;21.00;49.70
45535;DHT22;31426;48.798;9.698;2020-05-07T00:48:03;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:50:28;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:52:54;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:55:19;21.00;49.60
45535;DHT22;31426;48.798;9.698;2020-05-07T00:57:45;21.10;49.70
45535;DHT22;31426;48.798;9.698;2020-05-07T01:00:11;21.00;49.70
45535;DHT22;31426;48.798;9.698;2020-05-07T01:02:37;21.00;49.70
45535;DHT22;31426;48.798;9.698;2020-05-07T01:05:02;21.00;49.70
45535;DHT22;31426;48.798;9.698;2020-05-07T01:07:28;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T01:09:54;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T01:12:19;21.00;49.80
45535;DHT22;31426;48.798;9.698;2020-05-07T01:14:45;21.00;49.90
45535;DHT22;31426;48.798;9.698;2020-05-07T01:17:11;21.00;49.90
45535;DHT22;31426;48.798;9.698;2020-05-07T01:19:36;21.00;49.90
45535;DHT22;31426;48.798;9.698;2020-05-07T01:22:02;21.00;49.90
45535;DHT22;31426;48.798;9.698;2020-05-07T01:24:28;21.00;50.00
45535;DHT22;31426;48.798;9.698;2020-05-07T01:32:02;21.00;50.10
45535;DHT22;31426;48.798;9.698;2020-05-07T01:34:27;21.00;50.10
45535;DHT22;31426;48.798;9.698;2020-05-07T01:36:53;21.00;50.10
45535;DHT22;31426;48.798;9.698;2020-05-07T01:39:21;21.00;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T01:41:47;20.90;50.10
45535;DHT22;31426;48.798;9.698;2020-05-07T01:44:13;21.00;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T01:46:39;20.90;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T01:49:04;21.00;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T01:51:45;20.90;50.10
45535;DHT22;31426;48.798;9.698;2020-05-07T01:54:10;21.00;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T01:56:37;20.90;50.10
45535;DHT22;31426;48.798;9.698;2020-05-07T01:59:05;20.90;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T02:01:40;21.00;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T02:04:21;21.00;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T02:06:46;21.00;50.30
45535;DHT22;31426;48.798;9.698;2020-05-07T02:09:23;21.00;50.20
45535;DHT22;31426;48.798;9.698;2020-05-07T02:11:51;20.90;50.30
45535;DHT22;31426;48.798;9.698;2020-05-07T02:14:17;21.00;50.30
45535;DHT22;31426;48.798;9.698;2020-05-07T02:16:42;21.00;50.30
45535;DHT22;31426;48.798;9.698;2020-05-07T02:19:08;20.90;50.30
45535;DHT22;31426;48.798;9.698;2020-05-07T02:21:33;20.90;50.40
45535;DHT22;31426;48.798;9.698;2020-05-07T02:23:59;20.90;50.40
45535;DHT22;31426;48.798;9.698;2020-05-07T02:26:24;20.90;50.40
45535;DHT22;31426;48.798;9.698;2020-05-07T02:28:50;20.90;50.40
45535;DHT22;31426;48.798;9.698;2020-05-07T02:31:16;20.90;50.40
45535;DHT22;31426;48.798;9.698;2020-05-07T02:33:41;20.90;50.40
